Date,Product,Quantity,Price
2025-01-15,Computer,2,45.99
2025-01-22,Mouse,3,12.50
2025-02-03,Smartphone,1,39.99
2025-02-14,Keyboard,4,25.75
2025-02-28,Tablet,2,42.30
2025-03-05,Headphones,5,18.99
2025-03-12,Monitor,1,48.50
2025-03-25,Webcam,3,22.45
2025-04-02,Speaker,2,35.80
2025-04-18,Mouse,4,14.25
2025-04-30,Computer,1,47.99
2025-05-08,Smartphone,3,41.60
2025-05-20,Charger,5,16.99
2025-05-31,Keyboard,2,28.90
2025-06-10,Tablet,1,44.75
2025-06-22,Headphones,4,19.99
2025-07-01,Monitor,2,49.50
2025-07-15,Webcam,3,24.30
2025-07-28,Speaker,1,38.25
2025-08-05,Mouse,5,13.80
2025-08-18,Computer,2,46.40
2025-08-30,Smartphone,1,40.99
2025-09-12,Charger,4,15.75
2025-09-25,Keyboard,3,27.50
2025-10-08,Tablet,2,43.90
2025-10-20,Headphones,1,21.25
2025-11-02,Monitor,4,47.80
2025-11-15,Webcam,2,23.60
2025-11-28,Speaker,3,36.99
2025-12-10,Mouse,1,11.90
2025-12-22,Computer,5,48.75
2025-12-31,Smartphone,2,42.15
